chrom, mid , last_posinvariant_count, invariant_num_hom_ref, invariant_num_het, invariant_no_data, invariant_avg_depth, invariant_num_hom_alt, variant_count, variant_num_hom_ref, variant_num_het, variant_no_data, variant_avg_depth, variant_num_hom_alt, 
pseudo0, 10000.0, 19999, 17939.0, 0.0, 0.0, 0.0, 226049.0, 0.0, 97.0, 1439.0, 664.0, 0.0, 1311.0, 811.0, 
pseudo0, 30000.0, 38880, 13414.0, 0.0, 0.0, 0.0, 173270.0, 0.0, 114.0, 1776.0, 1517.0, 0.0, 1831.0, 190.0, 
pseudo0, 50000.0, 38880, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 70000.0, 79956, 25551.0, 0.0, 0.0, 0.0, 321219.0, 0.0, 443.0, 9222.0, 2563.0, 0.0, 6057.0, 988.0, 
pseudo0, 90000.0, 79956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 110000.0, 119999, 32585.0, 0.0, 0.0, 0.0, 398204.0, 0.0, 163.0, 3951.0, 646.0, 0.0, 2070.0, 347.0, 
pseudo0, 130000.0, 139999, 16643.0, 0.0, 0.0, 0.0, 208278.0, 0.0, 89.0, 2318.0, 289.0, 0.0, 1159.0, 109.0, 
pseudo0, 150000.0, 159999, 18582.0, 0.0, 0.0, 0.0, 231189.0, 0.0, 52.0, 1279.0, 246.0, 0.0, 652.0, 81.0, 
pseudo0, 170000.0, 179999, 14824.0, 0.0, 0.0, 0.0, 174122.0, 0.0, 64.0, 1436.0, 254.0, 0.0, 789.0, 147.0, 
pseudo0, 190000.0, 199999, 18598.0, 0.0, 0.0, 0.0, 217937.0, 0.0, 133.0, 3102.0, 388.0, 0.0, 1645.0, 308.0, 
pseudo0, 210000.0, 219999, 17507.0, 0.0, 0.0, 0.0, 213827.0, 0.0, 75.0, 1825.0, 281.0, 0.0, 961.0, 174.0, 
pseudo0, 230000.0, 239999, 17276.0, 0.0, 0.0, 0.0, 209422.0, 0.0, 47.0, 1167.0, 223.0, 0.0, 612.0, 74.0, 
pseudo0, 250000.0, 239999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 270000.0, 279999, 32781.0, 0.0, 0.0, 0.0, 404917.0, 0.0, 126.0, 3078.0, 392.0, 0.0, 1603.0, 393.0, 
pseudo0, 290000.0, 299999, 12478.0, 0.0, 0.0, 0.0, 147037.0, 0.0, 37.0, 922.0, 105.0, 0.0, 468.0, 68.0, 
pseudo0, 310000.0, 299999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 330000.0, 299999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 350000.0, 359999, 32889.0, 0.0, 0.0, 0.0, 434739.0, 0.0, 298.0, 3963.0, 5243.0, 0.0, 6406.0, 286.0, 
pseudo0, 370000.0, 379999, 13858.0, 0.0, 0.0, 0.0, 174908.0, 0.0, 37.0, 873.0, 173.0, 0.0, 479.0, 107.0, 
pseudo0, 390000.0, 399999, 14003.0, 0.0, 0.0, 0.0, 173631.0, 0.0, 43.0, 1085.0, 187.0, 0.0, 548.0, 46.0, 
pseudo0, 410000.0, 419999, 18806.0, 0.0, 0.0, 0.0, 238535.0, 0.0, 49.0, 1369.0, 146.0, 0.0, 647.0, 13.0, 
pseudo0, 430000.0, 439571, 18468.0, 0.0, 0.0, 0.0, 229723.0, 0.0, 67.0, 1817.0, 183.0, 0.0, 875.0, 41.0, 
pseudo0, 450000.0, 439571, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 470000.0, 479999, 34074.0, 0.0, 0.0, 0.0, 431055.0, 0.0, 160.0, 4164.0, 437.0, 0.0, 2097.0, 355.0, 
pseudo0, 490000.0, 498972, 16431.0, 0.0, 0.0, 0.0, 204562.0, 0.0, 56.0, 1314.0, 253.0, 0.0, 724.0, 145.0, 
pseudo0, 510000.0, 498972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 530000.0, 539999, 30725.0, 0.0, 0.0, 0.0, 381411.0, 0.0, 146.0, 3213.0, 818.0, 0.0, 1978.0, 201.0, 
pseudo0, 550000.0, 559999, 15974.0, 0.0, 0.0, 0.0, 194963.0, 0.0, 64.0, 1398.0, 255.0, 0.0, 808.0, 276.0, 
pseudo0, 570000.0, 579999, 17941.0, 0.0, 0.0, 0.0, 227283.0, 0.0, 61.0, 1432.0, 281.0, 0.0, 813.0, 165.0, 
pseudo0, 590000.0, 597684, 14924.0, 0.0, 0.0, 0.0, 181743.0, 0.0, 131.0, 3306.0, 409.0, 0.0, 1727.0, 254.0, 
pseudo0, 610000.0, 597684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 630000.0, 639999, 36590.0, 0.0, 0.0, 0.0, 471032.0, 0.0, 93.0, 2342.0, 377.0, 0.0, 1216.0, 168.0, 
pseudo0, 650000.0, 659999, 18213.0, 0.0, 0.0, 0.0, 242927.0, 0.0, 59.0, 1619.0, 128.0, 0.0, 821.0, 139.0, 
pseudo0, 670000.0, 679999, 17305.0, 0.0, 0.0, 0.0, 235205.0, 0.0, 196.0, 5159.0, 617.0, 0.0, 2778.0, 362.0, 
pseudo0, 690000.0, 699999, 18189.0, 0.0, 0.0, 0.0, 274707.0, 0.0, 962.0, 25295.0, 4843.0, 0.0, 16084.0, 1124.0, 
pseudo0, 710000.0, 719940, 15473.0, 0.0, 0.0, 0.0, 246824.0, 0.0, 781.0, 18303.0, 5289.0, 0.0, 13299.0, 974.0, 
pseudo0, 730000.0, 719940, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 750000.0, 759999, 31203.0, 0.0, 0.0, 0.0, 477643.0, 0.0, 477.0, 9734.0, 4117.0, 0.0, 8349.0, 1449.0, 
pseudo0, 770000.0, 779999, 16085.0, 0.0, 0.0, 0.0, 234424.0, 0.0, 196.0, 4121.0, 1652.0, 0.0, 2995.0, 510.0, 
pseudo0, 790000.0, 799812, 15728.0, 0.0, 0.0, 0.0, 223464.0, 0.0, 257.0, 5107.0, 2277.0, 0.0, 3831.0, 548.0, 
pseudo0, 810000.0, 799812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 830000.0, 839999, 34921.0, 0.0, 0.0, 0.0, 491763.0, 0.0, 441.0, 8810.0, 3763.0, 0.0, 6448.0, 1203.0, 
pseudo0, 850000.0, 859999, 16525.0, 0.0, 0.0, 0.0, 237743.0, 0.0, 289.0, 5356.0, 2870.0, 0.0, 4677.0, 681.0, 
pseudo0, 870000.0, 879901, 17831.0, 0.0, 0.0, 0.0, 251390.0, 0.0, 110.0, 1997.0, 1135.0, 0.0, 1592.0, 449.0, 
pseudo0, 890000.0, 879901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 910000.0, 919999, 33487.0, 0.0, 0.0, 0.0, 456996.0, 0.0, 646.0, 12970.0, 5256.0, 0.0, 9304.0, 1528.0, 
pseudo0, 930000.0, 939999, 14322.0, 0.0, 0.0, 0.0, 188436.0, 0.0, 324.0, 6207.0, 2679.0, 0.0, 4714.0, 832.0, 
pseudo0, 950000.0, 959999, 17426.0, 0.0, 0.0, 0.0, 240530.0, 0.0, 302.0, 5616.0, 2442.0, 0.0, 4374.0, 956.0, 
pseudo0, 970000.0, 979999, 18490.0, 0.0, 0.0, 0.0, 260713.0, 0.0, 31.0, 684.0, 245.0, 0.0, 441.0, 87.0, 
pseudo0, 990000.0, 999999, 18051.0, 0.0, 0.0, 0.0, 252920.0, 0.0, 76.0, 1732.0, 505.0, 0.0, 1093.0, 123.0, 
pseudo0, 1010000.0, 1019999, 17407.0, 0.0, 0.0, 0.0, 239879.0, 0.0, 391.0, 9108.0, 2864.0, 0.0, 5731.0, 666.0, 
pseudo0, 1030000.0, 1039999, 16690.0, 0.0, 0.0, 0.0, 226048.0, 0.0, 39.0, 1005.0, 212.0, 0.0, 567.0, 49.0, 
pseudo0, 1050000.0, 1059999, 16873.0, 0.0, 0.0, 0.0, 213181.0, 0.0, 106.0, 2656.0, 223.0, 0.0, 1413.0, 220.0, 
pseudo0, 1070000.0, 1078464, 15129.0, 0.0, 0.0, 0.0, 195900.0, 0.0, 152.0, 3949.0, 547.0, 0.0, 2112.0, 282.0, 
pseudo0, 1090000.0, 1078464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1110000.0, 1119999, 32374.0, 0.0, 0.0, 0.0, 428483.0, 0.0, 184.0, 3841.0, 1305.0, 0.0, 2610.0, 385.0, 
pseudo0, 1130000.0, 1139454, 14786.0, 0.0, 0.0, 0.0, 191050.0, 0.0, 83.0, 2221.0, 238.0, 0.0, 1130.0, 192.0, 
pseudo0, 1150000.0, 1139454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1170000.0, 1179555, 30379.0, 0.0, 0.0, 0.0, 376754.0, 0.0, 290.0, 6306.0, 1591.0, 0.0, 3808.0, 706.0, 
pseudo0, 1190000.0, 1179555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1210000.0, 1219999, 25091.0, 0.0, 0.0, 0.0, 316840.0, 0.0, 143.0, 2379.0, 1472.0, 0.0, 2185.0, 164.0, 
pseudo0, 1230000.0, 1239999, 17842.0, 0.0, 0.0, 0.0, 221404.0, 0.0, 185.0, 3777.0, 1108.0, 0.0, 2413.0, 543.0, 
pseudo0, 1250000.0, 1259999, 16581.0, 0.0, 0.0, 0.0, 204689.0, 0.0, 78.0, 1766.0, 412.0, 0.0, 1004.0, 222.0, 
pseudo0, 1270000.0, 1279999, 14810.0, 0.0, 0.0, 0.0, 189295.0, 0.0, 106.0, 2739.0, 294.0, 0.0, 1379.0, 77.0, 
pseudo0, 1290000.0, 1299999, 15924.0, 0.0, 0.0, 0.0, 209939.0, 0.0, 146.0, 3783.0, 564.0, 0.0, 2000.0, 194.0, 
pseudo0, 1310000.0, 1299999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1330000.0, 1299999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1350000.0, 1359918, 26993.0, 0.0, 0.0, 0.0, 414608.0, 0.0, 416.0, 8124.0, 1981.0, 0.0, 7078.0, 730.0, 
pseudo0, 1370000.0, 1359918, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1390000.0, 1378347, 12306.0, 0.0, 0.0, 0.0, 194805.0, 0.0, 247.0, 4719.0, 766.0, 0.0, 4446.0, 556.0, 
pseudo0, 1410000.0, 1378347, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1430000.0, 1439766, 28100.0, 0.0, 0.0, 0.0, 426775.0, 0.0, 369.0, 6845.0, 707.0, 0.0, 6236.0, 1078.0, 
pseudo0, 1450000.0, 1439766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1470000.0, 1479999, 28359.0, 0.0, 0.0, 0.0, 448006.0, 0.0, 444.0, 8683.0, 1157.0, 0.0, 7838.0, 945.0, 
pseudo0, 1490000.0, 1499934, 15589.0, 0.0, 0.0, 0.0, 266133.0, 0.0, 517.0, 9517.0, 4153.0, 0.0, 10115.0, 773.0, 
pseudo0, 1510000.0, 1499934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1530000.0, 1539999, 32186.0, 0.0, 0.0, 0.0, 503126.0, 0.0, 433.0, 10786.0, 1871.0, 0.0, 6989.0, 1197.0, 
pseudo0, 1550000.0, 1559999, 16280.0, 0.0, 0.0, 0.0, 260868.0, 0.0, 215.0, 4134.0, 1980.0, 0.0, 4100.0, 581.0, 
pseudo0, 1570000.0, 1579999, 16601.0, 0.0, 0.0, 0.0, 240305.0, 0.0, 128.0, 3228.0, 493.0, 0.0, 1921.0, 410.0, 
pseudo0, 1590000.0, 1599999, 15838.0, 0.0, 0.0, 0.0, 243557.0, 0.0, 243.0, 5714.0, 1376.0, 0.0, 4405.0, 799.0, 
pseudo0, 1610000.0, 1619999, 15224.0, 0.0, 0.0, 0.0, 227350.0, 0.0, 298.0, 5277.0, 3005.0, 0.0, 5417.0, 348.0, 
pseudo0, 1630000.0, 1639999, 17152.0, 0.0, 0.0, 0.0, 250890.0, 0.0, 34.0, 847.0, 178.0, 0.0, 509.0, 88.0, 
